wns,gain
1750,35.97250747680664
1742,32.89540481567383
1714,14.878881454467773
1722,10.203777313232422
1148,7.786877632141113
1746,6.774900913238525
2888,5.565074443817139
3332,4.640166282653809
1692,4.496824264526367
1584,4.301814556121826
3632,4.244032859802246
3462,4.193803787231445
1754,4.165495872497559
1738,4.064047813415527
1156,3.8550102710723877
2978,3.321493148803711
1710,3.270979404449463
1596,3.2264976501464844
2904,3.1964638233184814
1464,3.137458324432373
1552,3.1361703872680664
3270,3.0881943702697754
1184,3.07012939453125
3362,2.979365348815918
1602,2.751929759979248
1718,2.7272677421569824
1600,2.714258909225464
1792,2.698779344558716
2916,2.673269271850586
952,2.6388165950775146
1118,2.5751118659973145
3474,2.5390100479125977
1704,2.4962916374206543
1160,2.4916393756866455
990,2.4350342750549316
3420,2.4261250495910645
3666,2.381563186645508
3604,2.3684499263763428
1384,2.357532024383545
1756,2.33038067817688
1760,2.314232349395752
2466,2.1981287002563477
1842,2.135819673538208
1476,2.133993625640869
1996,2.1046981811523438
3774,2.043344020843506
940,1.9896037578582764
2434,1.986881136894226
2322,1.977193832397461
3344,1.944389820098877
1434,1.9329369068145752
1568,1.8866854906082153
3398,1.8859652280807495
3640,1.8428335189819336
1280,1.8207268714904785
3008,1.8135004043579102
1726,1.74564528465271
1564,1.722381591796875
3578,1.7163574695587158
2412,1.7030181884765625
1294,1.6989037990570068
3890,1.6938211917877197
614,1.6378018856048584
1002,1.625899076461792
2782,1.5981887578964233
2766,1.581804633140564
3012,1.5612183809280396
3682,1.5609090328216553
1576,1.5555416345596313
1560,1.5100988149642944
3658,1.4754998683929443
3424,1.4256097078323364
3112,1.3897805213928223
3574,1.388161301612854
3524,1.3702425956726074
540,1.3516626358032227
2292,1.3382223844528198
984,1.3211209774017334
856,1.3119152784347534
2312,1.2802003622055054
1964,1.2726430892944336
2820,1.2549930810928345
2650,1.2507752180099487
2358,1.2191319465637207
1396,1.207470417022705
1776,1.1753854751586914
2524,1.1665031909942627
3608,1.155010461807251
1206,1.1358476877212524
1152,1.1277258396148682
2920,1.097563624382019
2804,1.0838652849197388
1606,1.0837483406066895
3590,1.079308032989502
1696,1.0706199407577515
1630,1.057700753211975
2450,1.0267572402954102
1850,1.002912998199463
1572,0.9642026424407959
1660,0.8637294769287109
3558,0.854640007019043
2966,0.8407968878746033
1768,0.8372370004653931
3602,0.8357661962509155
3894,0.831000804901123
1402,0.7676360607147217
2946,0.7250773906707764
2222,0.6763181686401367
3504,0.6381231546401978
3494,0.5829274654388428
1022,0.5612106323242188
2992,0.5489401817321777
2962,0.5436685085296631
2372,0.5200021266937256
3366,0.46572136878967285
2030,0.4516124725341797
1014,0.44450950622558594
2018,0.4422645568847656
1654,0.4264727532863617
2366,0.41779255867004395
1868,0.4119910001754761
3274,0.3974851369857788
2238,0.31479835510253906
2770,0.27147430181503296
460,0.17143821716308594
1580,0.08632820844650269
